Source,Target,Type,Weight
Student_008,Student_027,Undirected,9
Student_002,Student_031,Undirected,15
Student_001,Student_030,Undirected,20
Student_045,Student_046,Undirected,18
Student_013,Student_048,Undirected,21
Student_006,Student_033,Undirected,21
Student_016,Student_024,Undirected,16
Student_037,Student_044,Undirected,16
Student_008,Student_044,Undirected,18
Student_035,Student_045,Undirected,15
Student_023,Student_031,Undirected,12
Student_011,Student_028,Undirected,11
Student_009,Student_044,Undirected,16
Student_009,Student_027,Undirected,8
Student_008,Student_046,Undirected,22
Student_045,Student_048,Undirected,18
Student_043,Student_045,Undirected,20
Student_043,Student_044,Undirected,25
Student_031,Student_037,Undirected,13
Student_024,Student_049,Undirected,15
Student_024,Student_038,Undirected,19
Student_023,Student_046,Undirected,22
Student_015,Student_021,Undirected,17
Student_007,Student_031,Undirected,11
Student_030,Student_046,Undirected,16
Student_016,Student_050,Undirected,14
Student_044,Student_048,Undirected,19
Student_024,Student_031,Undirected,15
Student_037,Student_046,Undirected,30
Student_023,Student_028,Undirected,23
Student_022,Student_045,Undirected,12
Student_020,Student_036,Undirected,18
Student_007,Student_024,Undirected,15
Student_032,Student_048,Undirected,13
Student_029,Student_046,Undirected,19
Student_025,Student_042,Undirected,19
Student_008,Student_013,Undirected,15
Student_034,Student_043,Undirected,26
Student_016,Student_042,Undirected,13
Student_013,Student_034,Undirected,19
Student_003,Student_046,Undirected,20
Student_035,Student_036,Undirected,21
Student_019,Student_038,Undirected,14
Student_008,Student_025,Undirected,15
Student_006,Student_034,Undirected,24
Student_037,Student_038,Undirected,20
Student_007,Student_008,Undirected,13
Student_034,Student_044,Undirected,15
Student_009,Student_029,Undirected,16
Student_030,Student_032,Undirected,10
Student_028,Student_038,Undirected,24
Student_008,Student_045,Undirected,16
Student_007,Student_045,Undirected,15
Student_007,Student_016,Undirected,15
Student_001,Student_007,Undirected,9
Student_022,Student_036,Undirected,17
Student_020,Student_021,Undirected,15
Student_019,Student_040,Undirected,12
Student_006,Student_022,Undirected,18
Student_001,Student_006,Undirected,18
Student_036,Student_043,Undirected,15
Student_028,Student_049,Undirected,17
Student_026,Student_035,Undirected,8
