Source,Target,Type,Weight
Student_037,Student_048,Undirected,46
Student_024,Student_041,Undirected,27
Student_017,Student_024,Undirected,39
Student_007,Student_022,Undirected,27
Student_035,Student_037,Undirected,38
Student_013,Student_017,Undirected,34
Student_017,Student_021,Undirected,34
Student_010,Student_020,Undirected,38
Student_008,Student_032,Undirected,26
Student_013,Student_020,Undirected,35
Student_012,Student_017,Undirected,32
Student_008,Student_015,Undirected,42
Student_007,Student_017,Undirected,30
Student_002,Student_043,Undirected,38
Student_020,Student_028,Undirected,36
Student_003,Student_042,Undirected,25
Student_003,Student_014,Undirected,31
Student_020,Student_022,Undirected,31
Student_007,Student_044,Undirected,29
Student_004,Student_015,Undirected,37
Student_002,Student_032,Undirected,41
Student_015,Student_046,Undirected,46
Student_012,Student_035,Undirected,24
Student_002,Student_015,Undirected,45
Student_007,Student_048,Undirected,40
Student_029,Student_041,Undirected,32
Student_012,Student_022,Undirected,32
Student_011,Student_032,Undirected,30
Student_048,Student_050,Undirected,42
Student_041,Student_044,Undirected,40
Student_011,Student_041,Undirected,37
Student_009,Student_048,Undirected,33
Student_009,Student_010,Undirected,34
Student_029,Student_043,Undirected,36
Student_002,Student_046,Undirected,50
Student_012,Student_036,Undirected,27
Student_011,Student_029,Undirected,28
Student_042,Student_046,Undirected,24
Student_020,Student_045,Undirected,34
Student_014,Student_042,Undirected,30
Student_010,Student_044,Undirected,24
Student_024,Student_033,Undirected,34
Student_021,Student_033,Undirected,32
Student_021,Student_030,Undirected,29
Student_013,Student_024,Undirected,24
Student_012,Student_045,Undirected,31
Student_003,Student_008,Undirected,36
Student_029,Student_037,Undirected,39
Student_013,Student_033,Undirected,26
Student_007,Student_046,Undirected,35
Student_006,Student_039,Undirected,32
Student_044,Student_045,Undirected,32
Student_015,Student_047,Undirected,41
Student_008,Student_044,Undirected,35
Student_004,Student_046,Undirected,27
Student_032,Student_044,Undirected,29
Student_013,Student_029,Undirected,33
Student_011,Student_044,Undirected,27
