Source,Target,Type,Weight
Student_010,Student_013,Undirected,428
Student_009,Student_030,Undirected,205
Student_003,Student_047,Undirected,135
Student_030,Student_033,Undirected,127
Student_006,Student_033,Undirected,144
Student_017,Student_047,Undirected,119
Student_009,Student_047,Undirected,127
Student_009,Student_033,Undirected,99
Student_012,Student_030,Undirected,75
Student_003,Student_009,Undirected,72
Student_009,Student_012,Undirected,62
Student_009,Student_043,Undirected,101
Student_008,Student_024,Undirected,65
Student_012,Student_047,Undirected,69
Student_009,Student_017,Undirected,81
Student_004,Student_024,Undirected,68
Student_033,Student_047,Undirected,69
Student_020,Student_043,Undirected,75
Student_029,Student_048,Undirected,102
Student_012,Student_033,Undirected,60
Student_006,Student_009,Undirected,67
Student_002,Student_048,Undirected,109
Student_002,Student_041,Undirected,97
Student_002,Student_007,Undirected,75
Student_003,Student_017,Undirected,67
Student_007,Student_037,Undirected,61
Student_023,Student_043,Undirected,68
Student_028,Student_032,Undirected,90
Student_028,Student_037,Undirected,60
Student_003,Student_033,Undirected,74
Student_009,Student_046,Undirected,84
Student_003,Student_012,Undirected,60
Student_028,Student_048,Undirected,77
Student_041,Student_045,Undirected,81
Student_008,Student_028,Undirected,55
Student_002,Student_028,Undirected,77
Student_003,Student_030,Undirected,53
Student_008,Student_045,Undirected,78
Student_030,Student_047,Undirected,50
Student_009,Student_035,Undirected,70
Student_028,Student_041,Undirected,77
Student_003,Student_023,Undirected,59
Student_003,Student_020,Undirected,48
Student_006,Student_012,Undirected,60
Student_024,Student_037,Undirected,47
Student_022,Student_047,Undirected,44
Student_015,Student_044,Undirected,88
Student_043,Student_046,Undirected,47
Student_033,Student_042,Undirected,104
Student_024,Student_028,Undirected,51
Student_002,Student_037,Undirected,53
Student_030,Student_043,Undirected,71
Student_009,Student_023,Undirected,56
Student_002,Student_024,Undirected,61
Student_013,Student_045,Undirected,59
Student_009,Student_015,Undirected,74
Student_010,Student_045,Undirected,61
Student_002,Student_030,Undirected,87
Student_007,Student_041,Undirected,72
Student_015,Student_030,Undirected,69
Student_007,Student_008,Undirected,47
Student_020,Student_046,Undirected,59
Student_013,Student_021,Undirected,61
Student_008,Student_013,Undirected,54
Student_008,Student_010,Undirected,54
Student_024,Student_035,Undirected,65
Student_010,Student_023,Undirected,54
Student_030,Student_037,Undirected,63
Student_006,Student_030,Undirected,42
Student_002,Student_035,Undirected,68
Student_042,Student_050,Undirected,30
Student_017,Student_023,Undirected,74
Student_017,Student_022,Undirected,50
Student_017,Student_020,Undirected,59
Student_023,Student_047,Undirected,61
Student_021,Student_022,Undirected,57
Student_008,Student_041,Undirected,60
Student_015,Student_035,Undirected,86
Student_007,Student_047,Undirected,38
Student_004,Student_044,Undirected,54
Student_008,Student_035,Undirected,42
Student_009,Student_020,Undirected,48
Student_028,Student_045,Undirected,45
Student_041,Student_048,Undirected,67
Student_036,Student_047,Undirected,61
Student_043,Student_045,Undirected,44
Student_011,Student_042,Undirected,35
Student_008,Student_048,Undirected,65
Student_020,Student_050,Undirected,52
Student_010,Student_021,Undirected,57
Student_004,Student_008,Undirected,46
Student_002,Student_008,Undirected,44
Student_037,Student_041,Undirected,52
Student_013,Student_023,Undirected,48
Student_003,Student_043,Undirected,46
Student_030,Student_046,Undirected,61
Student_022,Student_029,Undirected,44
Student_015,Student_020,Undirected,57
Student_037,Student_047,Undirected,45
Student_029,Student_046,Undirected,45
Student_003,Student_006,Undirected,37
Student_030,Student_045,Undirected,42
Student_024,Student_048,Undirected,52
Student_024,Student_044,Undirected,32
Student_011,Student_025,Undirected,25
Student_011,Student_048,Undirected,58
Student_037,Student_044,Undirected,28
Student_036,Student_037,Undirected,55
Student_030,Student_035,Undirected,44
Student_008,Student_037,Undirected,37
Student_003,Student_022,Undirected,43
Student_002,Student_047,Undirected,55
Student_009,Student_029,Undirected,44
Student_045,Student_046,Undirected,45
Student_007,Student_028,Undirected,37
Student_017,Student_037,Undirected,39
Student_004,Student_037,Undirected,45
Student_021,Student_037,Undirected,44
Student_017,Student_030,Undirected,45
Student_007,Student_035,Undirected,49
Student_002,Student_044,Undirected,46
Student_030,Student_048,Undirected,55
Student_010,Student_030,Undirected,45
Student_003,Student_035,Undirected,56
Student_017,Student_043,Undirected,53
Student_004,Student_041,Undirected,46
Student_004,Student_007,Undirected,40
Student_010,Student_043,Undirected,40
Student_003,Student_050,Undirected,46
Student_011,Student_046,Undirected,42
Student_025,Student_033,Undirected,70
Student_029,Student_050,Undirected,45
Student_023,Student_045,Undirected,37
Student_006,Student_035,Undirected,48
Student_014,Student_033,Undirected,63
Student_014,Student_017,Undirected,35
Student_004,Student_028,Undirected,40
Student_036,Student_042,Undirected,43
Student_023,Student_046,Undirected,31
Student_032,Student_037,Undirected,35
Student_011,Student_015,Undirected,41
Student_032,Student_041,Undirected,56
Student_030,Student_044,Undirected,37
Student_020,Student_029,Undirected,45
Student_023,Student_030,Undirected,45
Student_022,Student_037,Undirected,42
Student_020,Student_024,Undirected,41
Student_017,Student_028,Undirected,38
Student_008,Student_043,Undirected,33
Student_007,Student_024,Undirected,23
Student_046,Student_047,Undirected,45
Student_028,Student_044,Undirected,32
Student_010,Student_017,Undirected,41
Student_007,Student_036,Undirected,45
Student_020,Student_030,Undirected,45
Student_015,Student_024,Undirected,43
Student_009,Student_036,Undirected,42
Student_002,Student_011,Undirected,41
Student_033,Student_035,Undirected,31
Student_004,Student_048,Undirected,46
Student_035,Student_047,Undirected,46
Student_002,Student_020,Undirected,53
Student_035,Student_036,Undirected,38
Student_017,Student_029,Undirected,36
Student_015,Student_043,Undirected,40
Student_047,Student_048,Undirected,51
Student_014,Student_047,Undirected,33
Student_004,Student_013,Undirected,39
Student_030,Student_032,Undirected,44
Student_020,Student_023,Undirected,33
Student_013,Student_043,Undirected,29
Student_013,Student_030,Undirected,34
Student_003,Student_046,Undirected,36
Student_004,Student_010,Undirected,40
Student_021,Student_047,Undirected,31
Student_015,Student_041,Undirected,56
Student_025,Student_042,Undirected,37
Student_010,Student_024,Undirected,35
Student_003,Student_037,Undirected,43
Student_002,Student_004,Undirected,33
Student_029,Student_047,Undirected,31
Student_015,Student_028,Undirected,49
Student_020,Student_048,Undirected,51
Student_009,Student_050,Undirected,25
Student_005,Student_006,Undirected,33
Student_032,Student_048,Undirected,42
Student_006,Student_047,Undirected,26
Student_044,Student_046,Undirected,37
Student_025,Student_029,Undirected,37
Student_005,Student_039,Undirected,36
Student_028,Student_043,Undirected,33
Student_024,Student_043,Undirected,36
